ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
40,,Asian Bushbeech,Gmelina philippensis,"Traditionally used for fever, cough, wounds, and inflammation.","Leaves or bark are prepared as a decoction, while crushed leaves may be applied externally.",Use in moderation. Avoid excessive intake and consult a healthcare professional before medicinal use.,"Alipung is an erect, branched, nearly smooth shrub or small tree, 3 to 8 meters high, usually with a few stout spines on the trunk and branches. Leaves are elliptic, 4 to 8 centimeters long, entire, usually rounded or blunt at the apex and pointed at the base, and smooth beneath. Flowers are borne in short, terminal racemes, each subtended by a large, pale-green bract. The calyx is green, about 5 millimeters long. Corolla is yellow, about 4 centimeters long. Fruit is fleshy, smooth, yellow, pear-shaped, about 2 centimeters long."
41,,Asian Cable Creeper,Trachelospermum asiaticum,"Traditionally used for joint pain, muscle pain, skin inflammation, and minor wounds.",Leaves or stems are prepared as a decoction or crushed into a paste for external application.,Use in moderation. Avoid ingestion of large amounts and discontinue use if skin irritation occurs.,"Lianas to 10 m, glabrous except for corolla. Branches pale gray. Petiole 0.5-2 cm; leaf blade deep green adaxially, lighter abaxially, narrowly oblong to narrowly ovate, 3-14 X 1.2-5 cm, papery or somewhat leathery; lateral veins 6-12 pairs, usually wrinkled in dry state. Cymes paniculate, terminal or axillary, 3-26 X 3-13 cm, long pedunculate. Sepals ovate, 2-3 mm. Corolla white or yellowish green, pilose inside, tube 3-4.5 mm; lobes falcate, narrowly oblong, as long as or shorter than tube. Stamens inserted at base of corolla tube; disc cup-shaped, shallowly 5-lobed or entire, attached to ovaries. Follicles narrowly ellipsoid, dilated at base, 8-13 X 1.6-3 cm. Seeds tawny, beaked, ca. 2 cm x 6 mm, coma ca. 6 cm."
42,,Asian Foxtail,Uraria crinita,"Traditionally used for fever, diarrhea, body aches, and inflammation.",Roots or leaves are prepared as a decoction or herbal tea.,Use in moderation. Pregnant or breastfeeding women should consult a healthcare professional before medicinal use.,"Growth form: A woody shrub with erect stems and long bushy inflorescence. Foliage: Leaves are pinnately compound with about 2 - 3 pairs of lateral leaflets and 1 slightly larger terminal leaflet. Leaflets are oblong to narrowly ovate (6 - 15 cm long, 3 - 8 cm wide). The petioles are often long (5.5 - 15 cm). Stems: Stem covered in soft, short, gray hairs. Flowers: Flowers have one large ovate petal that hangs over 3 smaller petals. (0.6 - 0.9 cm wide). Flowers are arranged on an inflorescence known as a raceme (an inflorescence with stalked flowers carried along 1 main axis). The inflorescence is light purple and shaped like a cone (15 - 30 cm long). This species flowers from April to September. Fruit: Fruit is an elliptic pod lightly covered in soft, short hairs."
43,,Asian Pitcher Plant,Nepenthes mirabilis,"Traditionally used for cough, fever, stomachache, and urinary problems.","Pitcher fluid is consumed in small amounts, or leaves and stems are prepared as a decoction.",Use in moderation. Ensure the plant is correctly identified and collected from uncontaminated areas.,"Nepenthes alata has up to 4 m tall climbing stems, persistently pubescent, with bright green leaves, mostly scattered, rarely alternate, with petiole, somewhat coriaceous, lanceolate-ovate, 10 to 20 cm long and 2 to 5 cm broad, acute or incised only at the apex. The flap gradually fades on the petioles that are winged, 6 cm long, and embrace part of the stem. Young leaves are covered by dense and long white or reddish hairs that often hide the epidermis. With growth the pubescence tends to disappear from the stems and from the lower pagina of the leaves. The median vein of the leaves extends into a tendril which widens at the apex to assume the shape of a cup, the so-called ascidium (from the Greek ἀσκίδιον, “small wineskin”), inside of which forms a cavity that represents the trap these plants use to seize their preys. Basal ascidia are sub-cylindrical, slightly narrowed at the centre with two winged ribs going from top to bottom in the front with small teeth at the margins for catching the crawling insects. The opening of the ascidium is oblique with a reinforced margin (peristome) of red color"
44,,Asiatic Bellflower,Platycodon grandiflorus,"Traditionally used for cough, sore throat, colds, bronchitis, and phlegm.","Roots are dried and prepared as a decoction, tea, or herbal extract.",Use in moderation. People with allergies to bellflower plants or those taking medications should consult a healthcare professional before use.,"Wahlenbergia marginata is a perennial herb 3-60 cm tall, glabrous or hairy, woody at base. Leaves arranged spirally, simple, linear to elliptical, 1.5-5.5 cm × 0.1-0.5 cm, decreasing in size upwards, serrate to almost entire, mostly sessile; stipules absent. Inflorescence a 1-few-flowered, terminal or axillary raceme, with small bracts. Flowers bisexual, regular, 3-5-merous, distinctly protandrous; pedicel 1-15 cm long; calyx lobes 0.8-4 mm long; corolla tube 1-5 mm long, lobes ovate or elliptical, 1-7 mm long, acute or acuminate, violet-blue or white; stamens alternating with corolla lobes, free; ovary inferior, obconical to bell-shaped, 1-5 mm long, 2-3-celled, style 1.5-5 mm long, stigma 2-3-lobed. Fruit an obconical to bell-shaped capsule 1.5-10 mm × 1-5 mm, 2-3-valved, many-seeded. Seeds ellipsoid to triangular, up to 1 mm long, shining."
45,,Little Ironweed,Vernonia cinerea,"Traditionally used for fever, cough, asthma, diarrhea, and urinary tract infections.","Leaves, roots, or the whole plant are prepared as a decoction or herbal tea.",Use in moderation. Pregnant or breastfeeding women and people taking medications should consult a healthcare professional before use.,"Agas-moro is an erect, slender, sparingly branched, somewhat pubescent annual herb, growing up to 20 to 80 centimeters high. Leaves, smaller at higher altitudes, are oblanceolate to obovate, 2 to 6 centimeters long, with pointed or obtuse tips, with shallowly toothed margins. Heads are small, stalked, borne in open, lax corymbs, and about 7 millimeters long and 2.5 millimeters in diameter. Flowers are rather bright-purple, all perfect, the corolla all equal, tubular, slender 5-lobed, about 20 in each head, twice as long as the involucral bracts which are linear and silky. Fruits are achenes, striate, ribbed or angled; pappus hairs numerous."
46,,Asiatic pennywort,Centella asiatica,"Traditionally used for wounds, burns, skin diseases, anxiety, and memory problems.","Fresh or dried leaves are prepared as a tea, decoction, or eaten fresh.","Use in moderation. Avoid excessive intake and consult a healthcare professional before use, especially during pregnancy or if taking medications.","Takip-kohol is a prostrate, creeping, sparingly hairy or nearly smooth perennial herb, with delicate and slender stems rooting at the nodes. Leaves are rounded to reniform, 2 to 5 centimeters wide, horizontal, more or less cupped, rounded at the tip, and kidney-shaped or heart-shaped at the base, palmately veined, margins undulate-crenate, the rounded lobes often overlapping. Petioles are erect, 3 to 20 centimeters long. Flowers are dark-purple, axillary, ovate, and about 1 centimeter long. Peduncles occur in pairs or threes, less than 1 centimeter long and usually bear 3 sessile flowers. Fruits are minute, ovoid, white or green, and reticulate, each with 9 subsimilar longitudinal ridges. Carpels are five, cylindric compressed, about 2.5 millimeter long, white or green, reticulate. Ovary is inferior. Stamens are 5, epigynous."
47,,Asparagus,Asparagus officinalis,"Traditionally used for urinary tract infections, constipation, inflammation, and digestive problems.","Young shoots are eaten as a vegetable, while roots may be prepared as a decoction or herbal tea.","Generally safe when consumed as food. Use in moderation, and people with kidney disorders or asparagus allergies should consult a healthcare professional before medicinal use.","Asparagus fern is a slender, climbing or ascending, branched perennial, with round, green and wiry stems, with very numerous slender branches and branchlets that spread horizontally, forming triangular fernlike sprays, with the upper internodes 1 to 2 millimeters long. Leaves (cladodes) are setaceous, very slender, 3 to 5 millimeters long, ascending or spreading, 6 to 12 in a fascicle. Flowers are small, perfect, solitary at the ends of the branches, with very short pedicels, about 1 millimeter long. Perianth-segments are about 2 millimeters long and spreading. Fruit is a purple and black ovoid berry."
48,,Asparagus Fern,Asparagus densiflorus,"Traditionally used for cough, fever, inflammation, and minor wounds.","Roots or leaves are prepared as a decoction, while crushed leaves may be applied externally.","Avoid eating the berries, as they are toxic. The sap may also cause skin irritation in sensitive individuals.","Asparagus fern is a slender, climbing or ascending, branched perennial, with round, green and wiry stems, with very numerous slender branches and branchlets that spread horizontally, forming triangular fernlike sprays, with the upper internodes 1 to 2 millimeters long. Leaves (cladodes) are setaceous, very slender, 3 to 5 millimeters long, ascending or spreading, 6 to 12 in a fascicle. Flowers are small, perfect, solitary at the ends of the branches, with very short pedicels, about 1 millimeter long. Perianth-segments are about 2 millimeters long and spreading. Fruit is a purple and black ovoid berry."
49,,Australian Acalypha,Acalypha wilkesiana,"Traditionally used for skin diseases, fungal infections, wounds, and fever.",Leaves are prepared as a decoction or crushed into a paste for external application.,"Use in moderation. Avoid contact with the eyes, discontinue use if skin irritation occurs, and consult a healthcare professional before medicinal use.","Annual herbs, 0.2-0.5 m tall, monoecious. Branchlets pilose. Stipules lanceolate, 1.5-2 mm; petiole 2-6 cm; leaf blade oblong-ovate, ± rhombic-ovate, or broadly lanceolate, 3-9 × 1-5 cm, membranous, abaxially pilosulose along veins, adaxially glabrous, base cuneate, rarely obtuse, crenate, apex shortly acuminate. Inflorescences axillary, rarely terminal, unbranched, 1.5-5 cm, pilosulose, bisexual; peduncle 0.5-3 cm; female bracts proximal, 1 or 2(-4), ovate, cordate, accrescent to 1.4-2.5 × 1-2 cm in fruit, pilose, margin crenate; male portion distal, short to almost capitate, slender; bracts ovate, ca. 0.5 mm. Male flowers 5-7 per bract; pedicel ca. 0.5 mm; calyx segments 4, ca. 0.5 mm; stamens (7 or)8. Female flowers 1-3 per bract, sessile; sepals 3, narrowly ovate, 0.5-1 mm, pilose; ovary pilose; styles 3, ca. 2 mm, 5-7-laciniate. Capsule 3-locular, ca. 4 mm in diam., pilose and tuberculate. Seeds subovoid, 1.5-2 mm, smooth."
